address	name	namespace	reference_count	references
EXTERNAL:00000001	XRENGINE.EXE::?GetArchiveHeader@CApplication@@QAEPAVCInifile@@PBD0@Z	XRENGINE.EXE	1	1057cb48
EXTERNAL:00000002	XRENGINE.EXE::?Destroy@CStringTable@@SAXXZ	XRENGINE.EXE	1	1057cb4c
EXTERNAL:00000003	XRENGINE.EXE::?AddItem@CServerInfo@@QAEXPBD0I@Z	XRENGINE.EXE	1	1057cb50
EXTERNAL:00000004	XRENGINE.EXE::?CCC_RegisterInput@@YAXXZ	XRENGINE.EXE	1	1057cb54
EXTERNAL:00000005	XRENGINE.EXE::?_CalculateElementsBox@CCF_Skeleton@@QAEABV?$_box3@M@@XZ	XRENGINE.EXE	1	1057cb58
EXTERNAL:00000006	XRENGINE.EXE::?center@SElement@CCF_Skeleton@@QBEXAAU?$_vector3@M@@@Z	XRENGINE.EXE	1	1057cb5c
EXTERNAL:00000007	XRENGINE.EXE::?feel_vision_clear@Vision@Feel@@QAEXXZ	XRENGINE.EXE	1	1057cb60
EXTERNAL:00000008	XRENGINE.EXE::?g_current_font_scale@@3U?$_vector2@M@@A	XRENGINE.EXE	1	1057cb64
EXTERNAL:00000009	XRENGINE.EXE::?GetLanguage@CStringTable@@QBE?AVshared_str@@XZ	XRENGINE.EXE	1	1057cb68
EXTERNAL:0000000a	XRENGINE.EXE::?KeynameToDik@@YAHPBD@Z	XRENGINE.EXE	1	1057cb6c
EXTERNAL:0000000b	XRENGINE.EXE::?GetXRToken@CConsole@@QBEPAUxr_token@@PBD@Z	XRENGINE.EXE	1	1057cb70
EXTERNAL:0000000c	XRENGINE.EXE::?fill_tips@CCC_String@@UAEXAAV?$vector@Vshared_str@@V?$xalloc@Vshared_str@@@@@std@@I@Z	XRENGINE.EXE	1	1057cb74
EXTERNAL:0000000d	XRENGINE.EXE::?Device@@3VCRenderDevice@@A	XRENGINE.EXE	1	1057cb78
EXTERNAL:0000000e	XRENGINE.EXE::?translate_by_declension@CStringTable@@QBE?AVshared_str@@ABV2@H@Z	XRENGINE.EXE	1	1057cb7c
EXTERNAL:0000000f	XRENGINE.EXE::?g_sLaunchWorkingFolder@@3PADA	XRENGINE.EXE	1	1057cb80
EXTERNAL:00000010	XRENGINE.EXE::?g_sLaunchOnExit_params@@3PADA	XRENGINE.EXE	1	1057cb84
EXTERNAL:00000011	XRENGINE.EXE::?g_sLaunchOnExit_app@@3PADA	XRENGINE.EXE	1	1057cb88
EXTERNAL:00000012	XRENGINE.EXE::?SplitByWidth@CGameFont@@QAEGPAGGMPBD@Z	XRENGINE.EXE	1	1057cb8c
EXTERNAL:00000013	XRENGINE.EXE::?SizeOf_@CGameFont@@QAEMD@Z	XRENGINE.EXE	1	1057cb90
EXTERNAL:00000014	XRENGINE.EXE::?ActionNameToId@@YA?AW4EGameActions@@PBD@Z	XRENGINE.EXE	1	1057cb94
EXTERNAL:00000015	XRENGINE.EXE::?CurrentIR@CInput@@QAEPAVIInputReceiver@@XZ	XRENGINE.EXE	1	1057cb98
EXTERNAL:00000016	XRENGINE.EXE::?g_key_bindings@@3PAUkey_binding@@A	XRENGINE.EXE	1	1057cb9c
EXTERNAL:00000017	XRENGINE.EXE::?DikToPtr@@YAPAUkeyboard_key@@H_N@Z	XRENGINE.EXE	1	1057cba0
EXTERNAL:00000018	XRENGINE.EXE::?ActionNameToPtr@@YAPAUgame_action@@PBD@Z	XRENGINE.EXE	1	1057cba4
EXTERNAL:00000019	XRENGINE.EXE::?IsGroupNotConflicted@@YA_NW4EKeyGroup@@0@Z	XRENGINE.EXE	1	1057cba8
EXTERNAL:0000001a	XRENGINE.EXE::?GetCutLengthPos@CGameFont@@QAEGMPBD@Z	XRENGINE.EXE	1	1057cbac
EXTERNAL:0000001b	XRENGINE.EXE::?IsMultibyte@CGameFont@@QBEHXZ	XRENGINE.EXE	1	1057cbb0
EXTERNAL:0000001c	XRENGINE.EXE::?get_key_state@line_edit_control@text_editor@@QBE_NW4key_state@2@@Z	XRENGINE.EXE	1	1057cbb4
EXTERNAL:0000001d	XRENGINE.EXE::?on_frame@line_edit_control@text_editor@@QAEXXZ	XRENGINE.EXE	1	1057cbb8
EXTERNAL:0000001e	XRENGINE.EXE::?on_text_input@line_edit_control@text_editor@@QAEXPBD@Z	XRENGINE.EXE	1	1057cbbc
EXTERNAL:0000001f	XRENGINE.EXE::?on_key_release@line_edit_control@text_editor@@QAEXH@Z	XRENGINE.EXE	1	1057cbc0
