address	length	value
106b3d41	51	??0CAI_StalkerSyncState@NET_SyncStuff@@QAE@ABU01@@Z
106b3d75	45	??0CAI_StalkerSyncState@NET_SyncStuff@@QAE@XZ
106b3ea7	56	??4CAI_StalkerSyncState@NET_SyncStuff@@QAEAAU01@ABU01@@Z
106b4258	71	?IsAnimationDifferent@CAI_StalkerSyncState@NET_SyncStuff@@QBE_NABU12@@Z
106b42a0	70	?IsRotationDifferent@CAI_StalkerSyncState@NET_SyncStuff@@QAE_NABU12@@Z
106b439e	67	?ReadAnim@CAI_StalkerSyncState@NET_SyncStuff@@QAEXAAVNET_Packet@@@Z
106b43e2	71	?ReadPosition@CAI_StalkerSyncState@NET_SyncStuff@@QAEXAAVNET_Packet@@@Z
106b442a	71	?ReadRotation@CAI_StalkerSyncState@NET_SyncStuff@@QAEXAAVNET_Packet@@@Z
106b44e4	86	?SetAnimations@CAI_StalkerSyncState@NET_SyncStuff@@QAEXAAVCStalkerAnimationManager@@@Z
106b457a	96	?SetRotation@CAI_StalkerSyncState@NET_SyncStuff@@QAEXAAVstalker_movement_manager_smart_cover@@@Z
106b46c0	64	?SyncDifference@CAI_StalkerSyncState@NET_SyncStuff@@QAEXABU12@@Z
106b4793	68	?WriteAnim@CAI_StalkerSyncState@NET_SyncStuff@@QAEXAAVNET_Packet@@@Z
106b47d8	72	?WritePosition@CAI_StalkerSyncState@NET_SyncStuff@@QAEXAAVNET_Packet@@@Z
106b4821	72	?WriteRotation@CAI_StalkerSyncState@NET_SyncStuff@@QAEXAAVNET_Packet@@@Z
106b486a	16	xrFactory_Create
106b487b	17	xrFactory_Destroy
106b636e	30	?On_LostEntity@CObject@@UAEXXZ
106b6390	29	?On_SetEntity@CObject@@UAEXXZ
106b6428	49	?net_MigrateActive@CObject@@UAEXAAVNET_Packet@@@Z
106b645c	51	?net_MigrateInactive@CObject@@UAEXAAVNET_Packet@@@Z
106b6492	47	?net_ImportInput@CObject@@UAEXAAVNET_Packet@@@Z
106b65e0	42	?net_Export@CObject@@UAEXAAVNET_Packet@@@Z
106b660e	42	?net_Import@CObject@@UAEXAAVNET_Packet@@@Z
