address	name	namespace	reference_count	references
EXTERNAL:00000001	WININET.DLL::InternetReadFile	WININET.DLL	2	1001511c,1000ad7e
EXTERNAL:00000002	WININET.DLL::InternetOpenUrlA	WININET.DLL	2	10015120,1000ad6d
EXTERNAL:00000003	WININET.DLL::InternetCloseHandle	WININET.DLL	2	10015124,1000ada7
EXTERNAL:00000004	WININET.DLL::InternetOpenA	WININET.DLL	2	10015128,1000ad54
EXTERNAL:00000005	GAMENETWORKINGSOCKETS.DLL::SteamNetworkingIPAddr_ParseString	GAMENETWORKINGSOCKETS.DLL	3	10015000,1000a2af,1000a2fc
EXTERNAL:00000006	GAMENETWORKINGSOCKETS.DLL::SteamNetworkingIPAddr_ToString	GAMENETWORKINGSOCKETS.DLL	6	10015004,1000c703,1000a2d1,1000a31e,1000c7c3,1000b978
EXTERNAL:00000007	KERNEL32.DLL::GetLocaleInfoEx	KERNEL32.DLL	2	1001500c,10012bcc
EXTERNAL:00000008	KERNEL32.DLL::FormatMessageA	KERNEL32.DLL	2	10015010,10012bf3
EXTERNAL:00000009	KERNEL32.DLL::LocalFree	KERNEL32.DLL	2	10015014,10012c06
EXTERNAL:0000000a	KERNEL32.DLL::Sleep	KERNEL32.DLL	3	10015018,10004a39,10004a99
EXTERNAL:0000000b	KERNEL32.DLL::SetThreadPriority	KERNEL32.DLL	2	1001501c,10005872
EXTERNAL:0000000c	KERNEL32.DLL::GetCurrentThread	KERNEL32.DLL	2	10015020,1000586b
EXTERNAL:0000000d	KERNEL32.DLL::WideCharToMultiByte	KERNEL32.DLL	4	10015024,10012cff,10012d31,10008859
EXTERNAL:0000000e	KERNEL32.DLL::GetComputerNameA	KERNEL32.DLL	2	10015028,1000a000
EXTERNAL:0000000f	KERNEL32.DLL::GetCurrentProcessId	KERNEL32.DLL	4	1001502c,10013dce,1000bfb4,1000a5b6
EXTERNAL:00000010	KERNEL32.DLL::FreeLibrary	KERNEL32.DLL	2	10015030,1000e94c
EXTERNAL:00000011	KERNEL32.DLL::LoadLibraryA	KERNEL32.DLL	2	10015034,1000ea67
EXTERNAL:00000012	KERNEL32.DLL::GetProcAddress	KERNEL32.DLL	27	10015038,1000eab9,1000eac6,1000ead3,1000eae0,1000eaed,1000eafa,1000eb07,1000eb14,1000eb21,1000eb2e,1000eb3b,1000eb48,1000eb55,1000eb65,1000eb72,1000eb7f,1000eb8c,1000eb99,1000eba9,1000ebb9,1000ebc9,1000ebd8,1000ebe8,1000ebf5,1000ec02,1000ec0f
EXTERNAL:00000013	KERNEL32.DLL::GetSystemPowerStatus	KERNEL32.DLL	2	1001503c,10011785
