entry	name	size	called_interesting_symbols	string_refs	call_refs
100010b0	FUN_100010b0	488	1000110e->s_subnet_list_10015400 | 10001136->s_subnet_list_10015400 | 1000115e->s_subnet_list_10015400	10015400=subnet_list | 10015400=subnet_list | 10015400=subnet_list	3
10001b40	fill_auth_check_params	3555	10001ec5->s_scripts_10015480 | 10001f36->s_misc\script_sound_pripyat.ltx_10015488 | 10001fa7->s_state_mgr_pri_a15.script_100154a8 | 10001fac->s_$game_scripts$_100154c4 | 100020b5->s_$game_scripts$_100154c4 | 100026cc->s_xrlua.dll_100155f8 | 10002722->s_xrnetserver.dll_10015604	10015480=scripts | 10015488=misc\script_sound_pripyat.ltx | 100154a8=state_mgr_pri_a15.script | 100154c4=$game_scripts$ | 100154c4=$game_scripts$ | 100155f8=xrlua.dll | 10015604=xrnetserver.dll	7
10002b60	MultipacketSender::~MultipacketSender	18	10002b60->MultipacketSender::vftable		1
10002b80	MultipacketSender::operator=	75			0
10002bd0	FUN_10002bd0	164	10002c0c->MultipacketSender::vftable | 10002c4b->MultipacketSender::vftable		2
10002c80	MultipacketReciever::~MultipacketReciever	7	10002c80->MultipacketReciever::vftable		1
10002c90	MultipacketReciever::MultipacketReciever	9	10002c90->MultipacketReciever::vftable		1
10002ca0	MultipacketReciever::MultipacketReciever	11	10002ca0->MultipacketReciever::vftable		1
10002cb0	MultipacketReciever::operator=	5			0
10002cc0	FUN_10002cc0	108	10002ce0->MultipacketReciever::vftable | 10002d0f->MultipacketReciever::vftable		2
10002d30	CSteamHelper::CSteamHelper	472	10002e36->CCallback<class_CSteamHelper,struct_GameRichPresenceJoinRequested_t,0>::vftable | 10002e65->CCallback<class_CSteamHelper,struct_PersonaStateChange_t,0>::vftable | 10002e94->CCallback<class_CSteamHelper,struct_AvatarImageLoaded_t,0>::vftable		3
10002f10	CSteamHelper::SetOnJoinRequestedXRayCallback	116			0
10002f90	CSteamHelper::SetOnPersonaChangedXRayCallback	15			0
10002fa0	CSteamHelper::SetAvatarImageLoadedXRayCallback	15			0
10002fb0	CSteamHelper::SetRetailMode	15			0
10002fc0	CSteamHelper::IsRetail	4			0
10002fd0	IPureSteamServer::LegacyServer	4			0
10002fe0	IPureSteamClient::NET_Start	16			0
10002ff0	IPureSteamClient::SteamNetConnectionStatusChangedCallback	19	10002ff6->IPureSteamClient::s_pCallbackInstance | 10002ffc->IPureSteamClient::OnSteamNetConnectionStatusChanged		2
10003010	IPureSteamClient::GameDescriptionRecieved	7			0
10003020	IPureSteamClient::LegacyClient	4			0
100030a0	IPureClient::SetClientID	18			0
100030c0	IPureClient::net_isCompleted_Connect	13			0
100030d0	IPureClient::net_isFails_Connect	12			0
100030e0	IPureClient::net_setConenctionState	16			0
100030f0	IPureClient::net_IsSyncronised	7			0
10003100	IPureClient::net_isDisconnected	10			0
10003110	IPureClient::get_net_DescriptionData	7			0
10003120	IPureClient::net_SessionName	19			0
10003140	IPureClient::StartProcessQueue	12			0
10003150	IPureClient::net_msg_Retreive	11			0
10003160	IPureClient::net_msg_Release	11			0
10003170	IPureClient::EndProcessQueue	12			0
10003180	IPureClient::DeviceTimer	7			0
100031a0	IPureClient::GetStatistic	7			0
100031b0	IPureClient::GetClientID	7			0
100031c0	IPureClient::timeServer	31			0
100031e0	IPureClient::timeServer_Delta	7			0
100031f0	IPureClient::timeServer_UserDelta	16			0
10003200	IPureClient::GetMsgId2Name	8			0
10003210	IPureClient::OnSessionTerminate	3			0
10003220	IPureClient::TestLoadBEClient	3			0
10003230	FUN_10003230	141	10003268->IPureClient::~IPureClient | 1000329b->IPureClient::~IPureClient		2
100032c0	IPureSteamServer::NET	7			0
100032d0	IPureSteamServer::Port	4			0
100032e0	IPureSteamServer::NET_Start	19			0
10003300	IPureSteamServer::SteamNetConnectionStatusChangedCallback	21	10003307->IPureSteamServer::s_pCallbackInstance | 1000330d->IPureSteamServer::OnSteamNetConnectionStatusChanged		2
10003380	IClient::operator=	272			0
10003490	IServerStatistic::clear	49			0
100034d0	IServerStatistic::operator=	34			0
10003500	IServerStatistic::operator=	52			0
10003540	IBannedClient::IBannedClient	23			0
10003560	IBannedClient::operator=	18			0
10003580	IBannedClient::operator=	28			0
100035a0	IPureServer::GetStatistic	7			0
100035b0	IPureServer::OnCL_QueryHost	3			0
100035c0	IPureServer::GetPort	4			0
