address	length	value
10015400	11	subnet_list
10015480	7	scripts
10015488	29	misc\script_sound_pripyat.ltx
100154a8	24	state_mgr_pri_a15.script
100154c4	14	$game_scripts$
100155f8	9	xrlua.dll
10015604	15	xrnetserver.dll
10015668	69	* CL_Ping: time=%u, client_send=%u, server_time=%u, ping=%u, delta=%d
100156cc	19	logs\net_cl_log.log
100156e0	20	IPureClient::Connect
100156f8	57	G:\xrMPE\GIT\xray16_xrMPE\xray\xrNetServer\NET_Client.cpp
10015764	52	*[IPureClient] Correcting timeServer [SV] %u [CL] %u
1001579c	28	*[IPureClient] [netDelta] %u
100157bc	37	* CL_TimeSync: DELTA: %d, samples: %d
100157e4	30	* CLIENT: d(%d), dc(%d), s(%d)
10015804	17	network-time-sync
1001590c	35	MultipacketSender::_FlushSendBuffer
10015930	57	G:\xrMPE\GIT\xray16_xrMPE\xray\xrNetServer\NET_Common.cpp
1001596c	55	comp_sz < sizeof(packet_data)-sizeof(MultipacketHeader)
10015a00	31	NET_Compressor::compressed_size
10015a20	61	G:\xrMPE\GIT\xray16_xrMPE\xray\xrNetServer\NET_Compressor.cpp
10015a78	24	NET_Compressor::Compress
10015ad4	45	---------NET_Compressor::DumpStats-----------
10015c80	31	- loaded banned client %s to %s
10015ca0	19	IClient::_SendTo_LL
10015cb4	57	G:\xrMPE\GIT\xray16_xrMPE\xray\xrNetServer\NET_Server.cpp
10015cf0	6	server
10015cf8	37	! Too large packet size[%d] received!
10015d50	21	+ DisconnectedClient.
10015d68	19	logs\net_sv_log.log
10015d84	11	maxplayers=
10015d98	27	* Player 0x%08x connected. 
10015db4	30	* Player 0x%08x disconnected. 
10015f64	43	-- [IPureClient] Connecting to server at %s
10015f90	44	!! [IPureClient] Failed to create connection
10015fc0	7	connect
10015fc8	11	ServerAdmin
10015fd4	14	~~~ Disconnect
10015fe4	16	Disconnecting...
10015ff8	42	---- OnSteamNetConnectionStatusChanged: %u
10016024	45	!! [IPureClient] Connection closed by Peer %s
10016054	38	!! [IPureClient] A problem occurred %s
1001607c	37	--- Received map name from server: %s
100160a4	39	--- Received addon name from server: %s
1001612c	44	!! [IPureServer] Failed to listen on port %d
1001615c	37	!! [IPureServer] to listen on port %d
10016184	56	~~ [IPureServer] Server listening with IP %s on port %d 
100161c0	20	steam-update-sv-sync
100161d8	38	* [IPureServer] Closing connections...
10016208	42	* [IPureServer] Connection request from %s
10016234	38	* [IPureServer] Connection finished %s
1001625c	61	* [IPureServer] Client %s finishing connection after SV CL...
100162a0	65	* [IPureServer] Can't accept connection. (It was already closed?)
100162f4	56	!! [IPureServer] Client tried to send too BIG PACKET, %s
10016348	58	!! [IPureServer] Client tried to send too SMALL PACKET, %s
10016384	41	* [IPureServer] Failed to set poll group?
100163c4	36	* [IPureServer] Banned by the Server
100163ec	34	You have been banned by the Server
10016424	46	* Attempt to disconnect server client [%u][%s]
10016454	22	! Steam internal error
10016488	13	steam_api.dll
10016498	25	GameNetworkingSockets.dll
100164b4	18	CSteamHelper::Load
100164c8	58	G:\xrMPE\GIT\xray16_xrMPE\xray\xrNetServer\SteamHelper.cpp
10016514	17	SteamAPI_InitFlat
10016528	17	SteamAPI_Shutdown
1001653c	45	SteamAPI_SteamNetworkingSockets_SteamAPI_v012
1001656c	43	SteamAPI_SteamNetworkingUtils_SteamAPI_v004
10016598	24	SteamAPI_SteamUtils_v010
100165b4	33	SteamAPI_ISteamUtils_GetImageSize
100165d8	33	SteamAPI_ISteamUtils_GetImageRGBA
100165fc	43	SteamAPI_ISteamUtils_GetCurrentBatteryPower
10016628	21	SteamAPI_RunCallbacks
10016640	11	SteamClient
1001664c	26	SteamAPI_SteamFriends_v018
10016668	23	SteamAPI_SteamUser_v023
10016680	30	SteamAPI_ISteamUser_GetSteamID
100166a0	38	SteamAPI_ISteamFriends_SetRichPresence
100166c8	36	SteamAPI_ISteamFriends_SetPlayedWith
100166f0	43	SteamAPI_ISteamFriends_GetSmallFriendAvatar
1001671c	44	SteamAPI_ISteamFriends_GetMediumFriendAvatar
1001674c	43	SteamAPI_ISteamFriends_GetLargeFriendAvatar
10016778	45	SteamAPI_ISteamFriends_RequestUserInformation
100167a8	53	SteamAPI_ISteamNetworkingUtils_SetDebugOutputFunction
100167e0	25	SteamAPI_RegisterCallback
100167fc	27	SteamAPI_UnregisterCallback
10016818	26	GameNetworkingSockets_Init
10016834	29	SteamNetworkingSockets_LibV12
10016854	34	SteamAPI_SteamNetworkingUtils_v003
10016878	26	GameNetworkingSockets_Kill
10016894	37	! Cannot initialize Steam Library: %s
100184d4	15	xrNetServer.dll
100184e4	23	??0CSteamHelper@@QAE@XZ
100184fc	24	??0IBannedClient@@QAE@XZ
10018515	29	??0IClient@@QAE@PAVCTimer@@@Z
10018533	38	??0IClientStatistic@@QAE@PAVCTimer@@@Z
1001856f	33	??0IPureClient@@QAE@PAVCTimer@@@Z
10018591	34	??0IPureServer@@QAE@PAVCTimer@@H@Z
100185b4	43	??0IPureSteamClient@@QAE@PAVIPureClient@@@Z
